distance,troughput,calculation_start_after_app,runtime,total_packet_count_received,signal_mean, noise,signal_varianz
221,40.2215,0,30,104021,-81,-90,0
222,38.7138,0,30,100122,-81,-90,0
223,38.7069,0,30,100104,-81,-90,0
224,38.71,0,30,100112,-81,-90,0
225,38.6957,0,30,100075,-81,-90,0
226,38.6845,0,30,100046,-81,-90,0
227,38.6926,0,30,100067,-81,-90,0
228,38.6787,0,30,100031,-81,-90,0
229,38.6802,0,30,100035,-81,-90,0
230,38.679,0,30,100032,-81,-90,0
231,38.6848,0,30,100047,-81,-90,0
232,38.6732,0,30,100017,-81,-90,0
233,0,0,30,0,-81,-90,0
